"month","month_number","year","blue_etel_plan","red_etel_plan","total_etel_plan","efak_plan","wuge_plan","total_plan","total_yearly_exports_plan"
"Jan",1,2008,449227,814386,1263613,492421,424190,2243103,27883407
"Feb",2,2008,373663,857462,1231125,444995,388688,2162705,27883407
"Mar",3,2008,415732,1073889,1489621,665274,457796,2720911,27883407
"Apr",4,2008,331337,720009,1051346,444369,363828,2011182,27883407
"May",5,2008,290942,642450,933392,487668,364246,1877757,27883407
"Jun",6,2008,287603,644444,932047,445242,358439,1819924,27883407
"Jul",7,2008,245390,610130,855520,443318,321255,1682196,27883407
"Aug",8,2008,284540,638530,923070,501222,370153,1893171,27883407
"Sep",9,2008,554127,1526750,2080877,546249,645618,3325711,27883407
"Oct",10,2008,467772,1107807,1575579,553286,470648,2662148,27883407
"Nov",11,2008,469089,1092867,1561956,664734,529375,2909966,27883407
"Dec",12,2008,409962,1105165,1515127,560104,448355,2574633,27883407
"Jan",1,2009,394188,1152613,1546801,450498,443454,2547980,29387100
"Feb",2,2009,320490,1057727,1378217,380959,381571,2247049,29387100
"Mar",3,2009,351375,1212424,1563799,592616,471631,2731156,29387100
"Apr",4,2009,271021,895208,1166229,400839,393075,2020158,29387100
"May",5,2009,225914,831309,1057223,471523,379443,2098038,29387100
"Jun",6,2009,234600,748679,983279,405564,360120,1927995,29387100
"Jul",7,2009,191342,722409,913751,401100,337682,1783692,29387100
"Aug",8,2009,226507,754196,980703,444250,381164,1907705,29387100
"Sep",9,2009,519935,1454231,1974166,488899,597557,3124040,29387100
"Oct",10,2009,512283,1374688,1886971,584729,511889,3102251,29387100
"Nov",11,2009,456203,1382952,1839155,659061,573453,3154669,29387100
"Dec",12,2009,376595,1350972,1727567,512219,478396,2742367,29387100
"Jan",1,2010,388677,1260092,1648769,506991,685504,2965885,32780247
"Feb",2,2010,317587,1172990,1490577,550412,559040,2751170,32780247
"Mar",3,2010,306376,1232117,1538493,629309,590397,2906493,32780247
"Apr",4,2010,275940,932696,1208636,468600,566135,2383358,32780247
"May",5,2010,235850,868927,1104777,535435,448967,2246893,32780247
"Jun",6,2010,224371,706756,931127,475326,442838,1992851,32780247
"Jul",7,2010,204869,711291,916160,482147,423206,2023434,32780247
"Aug",8,2010,220570,876363,1096933,466887,458609,2244997,32780247
"Sep",9,2010,357203,1475679,1832882,532164,651525,3257717,32780247
"Oct",10,2010,413862,1689726,2103588,543650,598009,3536338,32780247
"Nov",11,2010,357645,1520284,1877929,662090,575012,3358206,32780247
"Dec",12,2010,364243,1498441,1862684,527275,544435,3112906,32780247
"Jan",1,2011,412463,1369528,1781991,646987,593024,3113110,35224132
"Feb",2,2011,323577,1240695,1564272,652598,570173,2883766,35224132
"Mar",3,2011,313230,1142301,1455531,778405,552269,2957893,35224132
"Apr",4,2011,276210,981318,1257528,717677,522050,2601648,35224132
"May",5,2011,249768,884650,1134418,684701,458092,2370949,35224132
"Jun",6,2011,217911,800289,1018200,639433,475669,2339881,35224132
"Jul",7,2011,209229,634107,843336,659271,451094,2105328,35224132
"Aug",8,2011,219002,755372,974375,652132,602954,2341623,35224132
"Sep",9,2011,365415,2070259,2435674,736826,751102,4086297,35224132
"Oct",10,2011,421679,1550970,1972649,774047,736236,3640827,35224132
"Nov",11,2011,359800,1513274,1873075,791780,681492,3502334,35224132
"Dec",12,2011,343171,1341595,1684766,823396,693967,3280476,35224132
"Jan",1,2012,481147,1589109,2070256,1057786,665434,3895396,43947063
"Feb",2,2012,412798,1318301,1731099,1006335,657383,3588151,43947063
"Mar",3,2012,364106,1299159,1663266,1260206,706987,3787240,43947063
"Apr",4,2012,311291,921703,1232994,1006509,601083,3036434,43947063
"May",5,2012,283279,880796,1164076,979754,604292,2907891,43947063
"Jun",6,2012,286839,731299,1018137,985549,571937,2707822,43947063
"Jul",7,2012,249233,683008,932241,964181,575704,2619486,43947063
"Aug",8,2012,288342,1512234,1800576,1027988,802634,3784557,43947063
"Sep",9,2012,399167,2424705,2823873,1090561,911343,4987460,43947063
"Oct",10,2012,524838,1699817,2224655,1151231,830770,4367319,43947063
"Nov",11,2012,399038,1625965,2025003,1222188,814818,4205772,43947063
"Dec",12,2012,415564,1539945,1955509,1148541,870857,4059533,43947063
"Jan",1,2013,360982,1503751,1864733,940156,670157,3580325,44152007
"Feb",2,2013,342370,1494858,1837228,1094548,673123,3863212,44152007
"Mar",3,2013,346868,1316966,1663834,1053751,727908,3606083,44152007
"Apr",4,2013,277548,1028055,1305603,1072364,680251,3213575,44152007
"May",5,2013,251623,920750,1172373,1061436,687880,3139128,44152007
"Jun",6,2013,257153,831961,1089115,1077276,702883,2998610,44152007
"Jul",7,2013,232752,841936,1074687,984463,623366,2785453,44152007
"Aug",8,2013,252611,965319,1217930,1010619,694089,3083654,44152007
"Sep",9,2013,494843,2421272,2916115,1083541,1029222,5143757,44152007
"Oct",10,2013,445720,1598167,2043888,1089769,853935,4149334,44152007
"Nov",11,2013,414612,1785268,2199880,1151019,889003,4495212,44152007
"Dec",12,2013,401854,1731360,2133214,1044125,842765,4093664,44152007
"Jan",1,2014,NA,NA,NA,NA,NA,4474000,NA
"Feb",2,2014,NA,NA,NA,NA,NA,4185565,NA
"Mar",3,2014,NA,NA,NA,NA,NA,4278119,NA
"Apr",4,2014,NA,NA,NA,NA,NA,3985542,NA
"May",5,2014,NA,NA,NA,NA,NA,3605973,NA
"Jun",6,2014,NA,NA,NA,NA,NA,3515173,NA
"Jul",7,2014,NA,NA,NA,NA,NA,3269444,NA
"Aug",8,2014,NA,NA,NA,NA,NA,3656112,NA
"Sep",9,2014,NA,NA,NA,NA,NA,5637391,NA
"Oct",10,2014,NA,NA,NA,NA,NA,5157781,NA
"Nov",11,2014,NA,NA,NA,NA,NA,5353458,NA
"Dec",12,2014,NA,NA,NA,NA,NA,4703185,NA
